Shop_ID,Mall_Name,City,Floor,Shop_Size_sqft,Footfall_per_day,Nearby_Brands,Has_Food_Court,Monthly_Sales,Rent
S001,2,2,2,352,6311,2,0,962727,67310
S002,1,1,4,2961,802,16,0,549722,45221
S003,4,4,0,1402,1138,9,0,1783693,3704
S004,1,4,4,1849,555,12,0,608924,68503
S005,1,0,3,1400,9217,13,1,1834033,85666
S006,0,1,4,1832,8650,13,1,229352,58140
S007,4,3,0,1705,2625,5,0,860694,41065
S008,4,1,3,2244,864,17,0,1965443,26389
S009,4,0,4,1406,7309,5,0,243283,45987
S010,1,0,3,1699,5121,6,0,1022346,69045
S011,2,1,1,1316,5626,6,1,965015,42139
S012,4,0,1,1546,5622,9,0,1548771,65476
S013,1,1,4,2853,2146,11,1,1868460,77861
S014,0,2,3,620,1418,18,1,1048974,49692
S015,2,1,0,1185,3297,10,0,481413,29682
S016,0,1,4,1503,7006,15,1,1402564,52964
S017,2,0,1,2933,6370,9,1,376898,43299
S018,1,0,1,2981,2031,10,1,1001661,61443
S019,3,4,4,1117,8672,12,1,913561,79368
S020,2,4,3,507,3845,2,0,352186,4708
S021,0,2,1,817,8173,15,0,1160241,29494
S022,1,4,3,522,7449,6,1,1345160,55531
S023,2,1,1,1181,7382,15,0,1215529,57034
S024,3,0,1,1295,2406,5,0,526072,49534
S025,3,4,2,1521,3586,2,0,1781312,15722
S026,4,4,1,2873,8652,9,0,1076553,125180
S027,4,2,0,239,6250,16,0,1285202,9769
S028,0,2,4,2895,9405,16,1,195271,89319
S029,2,1,4,689,1562,10,0,168533,21285
S030,2,0,3,2929,2476,10,0,1018452,37154
S031,4,2,1,1018,1796,11,0,1696645,25957
S032,2,4,0,190,6729,10,0,1564542,31774
S033,2,0,3,889,8141,4,1,116262,35617
S034,3,0,2,2096,625,12,1,883032,75434
S035,4,4,3,2699,5132,7,1,126898,68016
S036,1,2,3,1374,6788,3,1,505699,25860
S037,4,4,1,1078,4096,8,0,1247945,8839
S038,1,0,2,2186,6668,19,1,604736,85749
S039,3,3,3,2658,8061,3,0,338316,34756
S040,0,3,0,2929,8758,18,0,1106233,86779
S041,2,1,0,2949,732,12,0,527602,70592
S042,3,4,4,1074,9861,13,0,1879553,28424
S043,2,4,2,1731,6871,8,0,994189,69521
S044,0,1,2,539,4706,7,1,1089504,4641
S045,0,1,4,1767,8443,2,1,424999,66320
S046,3,1,3,405,7391,18,1,1782767,46039
S047,0,0,2,858,7238,12,1,57906,48966
S048,1,4,0,1988,2972,19,0,1422133,31706
S049,0,0,0,2094,3239,18,1,1676892,48147
S050,2,1,1,2647,5901,8,0,843719,96883
S051,2,4,2,159,2261,18,1,1394380,58210
S052,2,0,3,947,1376,10,0,1567550,43798
S053,2,0,4,1026,4312,18,0,896936,57810
S054,1,1,4,1178,1960,9,1,765080,59010
S055,4,4,3,1165,2233,18,0,1725843,31473
S056,3,1,1,1974,2105,8,0,84701,47772
